SMILES
FC1=CC=CC(O)=C1C2=NC(N(C3=C(C(C)C)N=CC=C3C)C(N=C4N5[C@@H](C)CN(C(C=C)=O)CC5)=O)=C4C=C2F
ClC1=CC=CC2=C1C(N3CC(N=C(OC[C@H]4N(C)CCC4)N=C5N6CCN(C(C(F)=C)=O)[C@@H](CC#N)C6)=C5CC3)=CC=C2
FC1=CC=CC(O)=C1C2=NC(N(C3=C(C(C)C)N=CC=C3C)C(N=C4N5[C@@H](C)CN(C(C=C)=O)CC5)=O)=C4C=C2Cl
FC1=CC=CC(O)=C1C2=NC(N(C3=C(CC)C=CC=C3CC)C(N=C4N5[C@@H](C)CN(C(C=C)=O)CC5)=O)=C4C=C2Cl
ClC1=CC=CC2=C1C(N3CC(N=C(OCC45N(CCC5)CCC4)C([H])=C6N7CCN(C(C(F)=C)=O)[C@@H](CC#N)C7)=C6CC3)=CC=C2
ClC1=CC=CC2=C1C(N3CC(N=C(OC[C@H]4N(C)CCC4)N=C5N6CCN(C(C=C)=O)[C@@H](CC#N)C6)=C5CC3)=CC=C2
O=C(C=C)N(CC1)C[C@H](C)N1C2=NC(OC[C@H]3N(C)CCC3)=NC4=C2C[C@@H](C)[C@H](C5=CC(O)=CC6=C5C=CC=C6)C4
N#CC[C@@H](C1)N(C(C=C)=O)CCN1C2=NC(OC[C@H]3N(C)CCC3)=NC4=C2CCN(C4)C5=CC=CC6=C5C(C(F)(F)F)=CC=C6
